artwork_id,artwork_type,artist,title,room
ART001,,,,
ART002,,,,
ART003,,,,
ART004,,,,
ART005,,,,
ART006,,,,
ART007,,,,
ART008,,,,
ART009,,,,
ART010,,,,
ART011,,,,
ART012,,,,
ART013,,,,
ART014,,,,
ART015,,,,
ART016,,,,
ART017,,,,
ART018,,,,
ART019,,,,
ART020,,,,
ART021,,,,
ART022,,,,
ART023,,,,
ART024,,,,
ART025,,,,
ART026,,,,
ART027,,,,
ART028,,,,
ART029,,,,
ART030,,,,
ART031,,,,
ART032,,,,
ART033,,,,
ART034,,,,
ART035,,,,
ART036,,,,
ART037,,,,
ART038,,,,
ART039,,,,
ART040,,,,
ART041,,,,
ART042,,,,
ART043,,,,
ART044,,,,
ART045,,,,
ART046,,,,
ART047,,,,
ART048,,,,
