experiment,experiment_version,datetime,trial_number,order_position,artwork_id,artwork_name,artwork_type,room_id,artist,title,artwork_file,room_file,floorplan_file,artwork_disp_w,artwork_disp_h,floor_disp_w,floor_disp_h,room_disp_w,room_disp_h,floor_click_screen_x,floor_click_screen_y,room_click_screen_x,room_click_screen_y,floor_rt,floor_confidence,floor_confidence_rt,room_rt,room_confidence,room_confidence_rt,floor_click_norm_x,floor_click_norm_y,floor_correct_norm_x,floor_correct_norm_y,floor_click_px_x,floor_click_px_y,floor_correct_px_x,floor_correct_px_y,floor_err_norm_x,floor_err_norm_y,floor_err_norm_euclidean,floor_err_px_x,floor_err_px_y,floor_err_px_euclidean,floor_pct_of_diagonal,room_click_norm_x,room_click_norm_y,room_correct_norm_x,room_correct_norm_y,room_click_px_x,room_click_px_y,room_correct_px_x,room_correct_px_y,room_err_norm_x,room_err_norm_y,room_err_norm_euclidean,room_err_px_x,room_err_px_y,room_err_px_euclidean,room_pct_of_diagonal,participant,session,researcher,trigger_mode,random_seed,debug,randomized_order,monitor_resolution
CAPTURE_spatial_memory,1.0.0,2026-07-16T10:12:18,1,1,ART044,Tavares_4of7,,,,,ART044.png,ART044.png,floorplan.jpeg,0.5,0.3,0.8,0.5,0.8,0.6,0.1,0.2,0.1,0.0,11.8442,Low,2.0743,2.3834,Med,1.398,0.19374149659863943,0.2532053693628095,0.303535,0.52099,302.04299319727886,255.48421768707482,473.211065,525.67891,-0.10979350340136057,-0.26778463063719044,0.28941876545006734,-171.16807180272116,-270.19469231292516,319.84946546576845,17.223706253321943,0.14340136054421762,0.5881632653061224,0.288254,0.700198,207.6451700680271,638.7453061224489,417.391792,760.415028,-0.1448526394557824,-0.11203473469387759,0.18312309776550423,-209.7466219319729,-121.66972187755107,242.48127068628332,13.39675528653499,99,1,JR,No EEG triggers,1400605146,0,ART044|ART005|ART036|ART016|ART030|ART021|ART025|ART020|ART026|ART039|ART008|ART023|ART019|ART041|ART037|ART029|ART014|ART038|ART001|ART004|ART017|ART048|ART042|ART006|ART002|ART027|ART045|ART047|ART033|ART035|ART012|ART011|ART032|ART046|ART013|ART043|ART031|ART028|ART009|ART010|ART022|ART034|ART015|ART024|ART040|ART018|ART007|ART003,2940x1912
CAPTURE_spatial_memory,1.0.0,2026-07-16T10:12:32,2,2,ART005,Chaile_1aof4,,,,,ART005.png,ART005.png,floorplan.jpeg,0.4,0.7,0.8,0.5,0.8,0.5,0.2,0.2,0.7,0.0,4.1362,Med,1.2979,4.8002,High,3.1977,0.25088435374149654,0.26371621393849903,0.409202,0.200655,391.1287074829931,266.08965986394554,637.945918,202.460895,-0.15831764625850347,0.06306121393849903,0.17041476995914934,-246.8172105170069,63.62876486394555,254.88694577303832,13.725512642043345,0.9297959183673469,0.6799756262694652,0.920282,0.665542,1386.3257142857142,717.3742857142857,1372.140462,702.14681,0.00951391836734683,0.014433626269465205,0.017287111094313457,14.185252285714114,15.227475714285788,20.81099226463075,1.1393912164343514,99,1,JR,No EEG triggers,1400605146,0,ART044|ART005|ART036|ART016|ART030|ART021|ART025|ART020|ART026|ART039|ART008|ART023|ART019|ART041|ART037|ART029|ART014|ART038|ART001|ART004|ART017|ART048|ART042|ART006|ART002|ART027|ART045|ART047|ART033|ART035|ART012|ART011|ART032|ART046|ART013|ART043|ART031|ART028|ART009|ART010|ART022|ART034|ART015|ART024|ART040|ART018|ART007|ART003,2940x1912
CAPTURE_spatial_memory,1.0.0,2026-07-16T10:12:49,3,3,ART036,Simpson_4of14,,,,,ART036.png,ART036.png,floorplan.jpeg,0.4,0.7,0.8,0.5,0.8,0.5,0.4,0.0,0.2,0.1,3.9185,Med,8.6147,1.8501,Low,1.3145,0.622312925170068,0.6189827605968056,0.283943,0.222054,970.185850340136,624.5536054421768,442.667137,224.052486,0.338369925170068,0.3969287605968056,0.521580911507039,527.518713340136,400.50111944217684,662.3270639181743,35.66592420575023,0.30122448979591826,0.5277370323129251,0.668369,0.554653,462.3795918367345,540.4027210884353,1025.946415,567.964672,-0.36714451020408173,-0.026915967687074827,0.3681298149967301,-563.5668231632653,-27.561950911564622,564.2403967356349,30.578650085586695,99,1,JR,No EEG triggers,1400605146,0,ART044|ART005|ART036|ART016|ART030|ART021|ART025|ART020|ART026|ART039|ART008|ART023|ART019|ART041|ART037|ART029|ART014|ART038|ART001|ART004|ART017|ART048|ART042|ART006|ART002|ART027|ART045|ART047|ART033|ART035|ART012|ART011|ART032|ART046|ART013|ART043|ART031|ART028|ART009|ART010|ART022|ART034|ART015|ART024|ART040|ART018|ART007|ART003,2940x1912
