experiment,experiment_version,datetime,trial_number,order_position,artwork_id,artwork_name,artwork_type,room_id,artist,title,artwork_file,room_file,floorplan_file,artwork_disp_w,artwork_disp_h,floor_disp_w,floor_disp_h,room_disp_w,room_disp_h,floor_click_screen_x,floor_click_screen_y,room_click_screen_x,room_click_screen_y,floor_rt,floor_confidence,floor_confidence_rt,room_rt,room_confidence,room_confidence_rt,floor_click_norm_x,floor_click_norm_y,floor_correct_norm_x,floor_correct_norm_y,floor_click_px_x,floor_click_px_y,floor_correct_px_x,floor_correct_px_y,floor_err_norm_x,floor_err_norm_y,floor_err_norm_euclidean,floor_err_px_x,floor_err_px_y,floor_err_px_euclidean,floor_pct_of_diagonal,room_click_norm_x,room_click_norm_y,room_correct_norm_x,room_correct_norm_y,room_click_px_x,room_click_px_y,room_correct_px_x,room_correct_px_y,room_err_norm_x,room_err_norm_y,room_err_norm_euclidean,room_err_px_x,room_err_px_y,room_err_px_euclidean,room_pct_of_diagonal,participant,session,researcher,trigger_mode,random_seed,debug,randomized_order,monitor_resolution
CAPTURE_spatial_memory,1.0.0,2026-07-16T10:53:28,1,1,ART005,Chaile_1aof4,,,,,ART005.png,ART005.png,floorplan.jpeg,0.4,0.5,0.9,0.6,0.9,0.7,0.1,0.2,0.7,-0.0,4.3331,Low,3.9754,2.7667,Med,1.4814,0.28717672413793094,0.2606602538361642,0.409202,0.200655,447.7085129310343,263.00619612068965,637.945918,202.460895,-0.12202527586206907,0.0600052538361642,0.13598087526250358,-190.2374050689657,60.54530112068966,199.63968487044033,10.750480022553706,0.8758081896551724,0.68275044941984,0.920282,0.665542,1305.830010775862,720.3017241379312,1372.140462,702.14681,-0.04447381034482767,0.01720844941984001,0.047687005966226194,-66.31045122413798,18.1549141379312,68.7508316233661,3.7640729801890704,99,1,JR,No EEG triggers,378466278,1,ART005|ART020|ART012|ART046,2560x1600
CAPTURE_spatial_memory,1.0.0,2026-07-16T10:53:49,2,2,ART020,Hakihiiwe_4of22,,,,,ART020.png,ART020.png,floorplan.jpeg,0.4,0.3,0.9,0.6,0.9,0.7,0.3,0.2,0.1,0.2,4.456,Med,2.6979,6.0168,Low,6.3645,0.46093749999999994,0.3106094182529648,0.4845,0.418364,718.6015624999999,313.40490301724145,755.3355,422.129276,-0.023562500000000042,-0.10775458174703523,0.11030068582619285,-36.73393750000014,-108.72437298275855,114.76223875799877,6.179879295602313,0.24542025862068956,0.3329741379310344,0.272282,0.334688,355.3685344827585,361.6099137931034,394.264336,363.471168,-0.026861741379310466,-0.001713862068965566,0.02691636069605992,-38.89580151724152,-1.8612542068966036,38.94030871592235,2.1513982715979196,99,1,JR,No EEG triggers,378466278,1,ART005|ART020|ART012|ART046,2560x1600
CAPTURE_spatial_memory,1.0.0,2026-07-16T10:54:17,3,3,ART012,Dominguez_10of12,,,,,ART012.png,ART012.png,floorplan.jpeg,0.4,0.3,0.9,0.6,0.9,0.6,0.7,0.3,0.6,0.1,20.5563,Med,1.2128,4.3333,Low,1.198,0.9162176724137931,0.22944202607566389,0.695262,0.280611,1428.3833512931035,231.50700431034485,1083.913458,283.136499,0.2209556724137931,-0.051168973924336114,0.2268031592908283,344.4698932931035,-51.62949468965516,348.31754493173503,18.756695647579697,0.8475215517241379,0.5141433189655173,0.165821,0.494616,1301.7931034482758,526.4827586206898,254.701056,506.486784,0.6817005517241379,0.01952731896551735,0.6819801744970121,1047.092047448276,19.995974620689765,1047.2829583405116,56.7312561030098,99,1,JR,No EEG triggers,378466278,1,ART005|ART020|ART012|ART046,2560x1600
CAPTURE_spatial_memory,1.0.0,2026-07-16T10:54:25,4,4,ART046,Toledo_1of1,,,,,ART046.png,ART046.png,floorplan.jpeg,0.4,0.5,0.9,0.6,0.9,0.7,0.0,0.1,-0.1,0.1,2.2457,High,1.8813,1.8002,High,1.4312,0.1888469827586206,0.5437055188647005,0.187102,0.520871,294.41244612068954,548.5988685344828,291.69201799999996,525.5588389999999,0.0017449827586206168,0.02283451886470056,0.022901096406291312,2.7204281206895757,23.04002953448287,23.200079528089585,1.24931068514882,0.08378232758620685,0.4484347369584438,0.089786,0.437089,125.08701508620683,472.20177801724134,134.050498,460.254717,-0.006003672413793154,0.01134573695844382,0.012836270080609044,-8.963482913793172,11.94706101724131,14.935738779703838,0.8175094487604893,99,1,JR,No EEG triggers,378466278,1,ART005|ART020|ART012|ART046,2560x1600
